Int_ID,intersection_lat,intersection_long
147,40.5742,-73.9887
148,40.5743,-73.852
149,40.5746,-73.8512
150,40.5746,-73.9876
151,40.5748,-73.9735
152,40.5748,-74.0017
153,40.5748,-74.0083
154,40.5748,-74.1115
155,40.5748,-73.8582
156,40.5748,-73.9734
157,40.5749,-74.0007
158,40.5749,-73.8443
159,40.575,-73.9996
160,40.575,-74.009
161,40.575,-73.8504
162,40.5751,-73.8574
163,40.5751,-74.0069
164,40.5751,-73.9685
165,40.5753,-74.0053
166,40.5753,-73.9766
167,40.5754,-74.0079
168,40.5755,-73.9666
169,40.5755,-73.9656
170,40.5755,-73.8625
171,40.5755,-73.9649
172,40.5756,-73.9943
173,40.5756,-73.9699
174,40.5756,-73.9639
175,40.5756,-73.9566
176,40.5757,-73.9552
177,40.5757,-73.963
178,40.5758,-73.9621
179,40.5758,-73.9708
180,40.5758,-73.9611
181,40.5758,-73.9604
182,40.5759,-73.9595
183,40.5759,-73.848
184,40.5759,-74.0966
185,40.576,-73.9901
186,40.576,-74.1631
187,40.576,-73.973
188,40.5761,-74.01
189,40.5762,-73.9686
190,40.5763,-73.9688
191,40.5763,-73.9879
192,40.5763,-73.8472
193,40.5764,-73.9697
194,40.5764,-73.9685
195,40.5764,-73.9687
196,40.5764,-73.9672
197,40.5764,-73.9688
198,40.5765,-74.0104
199,40.5765,-74.2697
200,40.5766,-73.8463
201,40.5766,-73.9596
202,40.5766,-73.9848
203,40.5766,-74.0056
204,40.5767,-73.9658
205,40.5767,-73.9567
206,40.5768,-73.9538
207,40.5768,-73.9535
208,40.5768,-73.9728
209,40.5768,-73.9538
210,40.5768,-73.9651
211,40.5769,-73.9826
212,40.5769,-73.9529
213,40.5769,-74.0032
214,40.577,-73.9519
215,40.577,-73.9815
216,40.577,-74.0022
217,40.577,-73.9519
218,40.577,-73.9642
219,40.5771,-74.0011
220,40.5772,-73.9501
221,40.5772,-73.9633
222,40.5772,-74
223,40.5773,-73.8508
224,40.5773,-73.9492
225,40.5773,-73.8447
226,40.5773,-73.9582
227,40.5774,-73.9581
228,40.5774,-73.9581
229,40.5774,-73.9548
230,40.5774,-73.999
231,40.5774,-73.9624
232,40.5774,-73.9482
233,40.5775,-73.8568
234,40.5775,-73.9979
235,40.5775,-73.9473
236,40.5776,-73.8439
237,40.5776,-73.9614
238,40.5776,-74.0109
239,40.5777,-74.1637
240,40.5777,-74.6152
241,40.5777,-73.9454
242,40.5778,-73.9561
243,40.5778,-73.9606
244,40.5779,-73.9566
245,40.578,-73.9668
246,40.578,-73.9596
247,40.578,-73.9712
248,40.578,-73.9569
249,40.578,-73.9426
250,40.5781,-73.959
251,40.5781,-74.0956
252,40.5781,-73.9417
253,40.5782,-73.8423
254,40.5782,-73.9916
255,40.5782,-73.9408
256,40.5783,-73.9578
257,40.5783,-73.9582
258,40.5783,-73.9608
259,40.5783,-73.9398
260,40.5784,-73.9667
261,40.5784,-73.8583
262,40.5784,-73.8474
263,40.5784,-73.9678
264,40.5784,-73.9389
265,40.5784,-73.9542
266,40.5784,-73.9379
267,40.5784,-73.8414
268,40.5785,-73.9657
269,40.5785,-73.9683
270,40.5786,-73.8415
271,40.5786,-73.9667
272,40.5787,-73.9873
273,40.5788,-73.9658
274,40.5789,-73.9747
275,40.579,-73.8398
276,40.579,-73.9666
277,40.5791,-73.9841
278,40.5791,-74.0084
279,40.5792,-73.966
280,40.5792,-73.9831
281,40.5792,-73.9819
282,40.5792,-73.955
283,40.5792,-73.9763
284,40.5793,-73.9533
