id,latitude,longitude,distance,duration
53,40.7577413,-73.9968472,28688.2,2534.1
54,40.7828455,-73.94374,29615.3,2015.1
55,40.7803049,-73.9856663,42772.1,2915
56,40.7606127,-73.9643451,28482.8,2328.3
57,40.7612328,-73.9639047,26507.9,2223.7
58,40.7693328,-73.9950615,44001.6,2856.9
59,40.779478,-73.973571,33587,2729.2
60,40.7219848,-74.0082309,36954,2809.6
61,40.773031,-73.978281,34563.4,2899.2
62,40.7916741,-73.9647071,31578,2488.3
63,40.7206456,-74.008466,36821,2803.2
64,40.7237578,-74.0079297,32891.1,2927.7
65,40.7593048,-73.9592537,26599.2,2204.9
66,40.818704,-73.961038,30188.6,2496.8
67,40.7576611,-73.9948152,28917.9,2590
68,40.7846108,-73.9698592,33590,2738.3
69,40.7244132,-74.0059302,33425,3043.3
70,40.791722,-73.952984,30328.7,2271.5
71,40.792384,-73.9641881,31487.7,2452.6
72,40.7955204,-73.9759847,41163.7,2706.6
73,40.7941908,-73.9628569,32166,2606.4
74,40.8310339,-73.9359788,30541.6,1999.9
75,40.7143777,-74.0004476,33575.7,2568.6
76,40.7982104,-73.9523942,29538,2223.3
77,40.7024415,-74.0128371,34160.2,2499.4
78,40.7472528,-73.9758549,26418,1829
79,40.8353715,-73.9441039,32034.8,2414.9
80,40.8363811,-73.9445746,32167.2,2451.6
81,40.8370771,-73.9442977,32245.1,2445.2
82,40.8377866,-73.9440172,35389,2529.8
83,40.8384634,-73.9437512,32406,2477
84,40.839174,-73.943465,35227.9,2498.9
85,40.840193,-73.943066,35109.7,2453.8
86,40.842154,-73.942279,36939.3,2689.8
87,40.84281,-73.942013,33664.6,2455
88,40.843443,-73.9416398,33591.1,2449
89,40.844049,-73.941142,33511.7,2425
90,40.844686,-73.940795,36695.6,2633.9
91,40.845369,-73.940518,33379.1,2403.3
92,40.846048,-73.940241,33458.2,2421.2
93,40.846519,-73.940061,33246.2,2409
94,40.84721,-73.939779,36220.3,2558
95,40.847838,-73.939524,33219.2,2385.4
96,40.8499781,-73.9386594,34166.7,2367.4
97,40.850909,-73.938284,34058.5,2333.7
98,40.852128,-73.937819,34841,2516.1
99,40.85338,-73.937435,34690.2,2464.7
100,40.855125,-73.9369033,34491,2431.5
101,40.857109,-73.935602,34738.6,2472.8
102,40.710185,-74.0042501,32366.9,2803
103,40.7136499,-74.0036256,31971.7,2717.6
104,40.7139712,-74.0030556,32031.6,2727
105,40.7142983,-74.0026161,32084,2734.8
106,40.7151767,-74.0021357,33743.4,2610
107,40.7157471,-74.0016907,33781.2,2654.9
108,40.71693,-74.000818,33967.9,2672.3
109,40.717619,-74.000274,32167.7,2783.9
110,40.718017,-73.999956,31963.9,2712.5
111,40.71868,-73.999423,32076.4,2772
112,40.719786,-73.998524,32194.7,2758.4
113,40.720836,-73.997655,29234.8,2557.5
114,40.7152208,-73.9842477,31292.5,2404.2
115,40.7183028,-73.9825031,31150.5,2438
116,40.7194627,-73.9819201,28563.8,2397.2
117,40.720654,-73.9813158,28705.2,2456.7
118,40.739673,-73.990945,28417,2303
119,40.741031,-73.994165,29277.1,2556.3
120,40.742228,-73.997007,29003.1,2480.4
121,40.7434266,-73.9998517,29424,2549.2
122,40.7446399,-74.0027323,29608.6,2675.7
123,40.745816,-74.005535,29971.8,2661.7
124,40.746795,-74.0078599,30196,2731.6
125,40.7422112,-73.9890959,28094.5,2241.2
126,40.7435682,-73.9923179,28902.1,2467.4
127,40.744765,-73.9951595,29401.4,2573.9
128,40.7459612,-73.998,29127.6,2506.1
129,40.7471747,-74.0008813,29945.7,2713.8
130,40.748355,-74.003684,29675.4,2634.9
131,40.7502561,-74.0082754,30102.4,2696.6
132,40.8722414,-73.9126036,35774.2,2488.9
133,40.7142505,-73.9808928,30989.7,2340.5
134,40.713555,-73.980853,30982.9,2361.8
135,40.763659,-73.973465,27332.8,2494.4
136,40.856182,-73.928716,35046.7,2361.1
137,40.857841,-73.932043,35306.4,2383.6
138,40.745301,-73.986846,27702,2167.5
139,40.7460463,-73.9886202,27872.9,2254.6
140,40.746659,-73.990067,28012.6,2304.3
141,40.7478553,-73.9929106,28347.5,2433.7
142,40.7490521,-73.9957492,28560.4,2490.7
143,40.7502567,-73.998626,28894.4,2557.4
144,40.751445,-74.00143,29165.1,2610.7
145,40.7526457,-74.0042703,29383.2,2577
146,40.75379,-74.0070337,29648.7,2632.1
147,40.8621121,-73.9300037,35075.6,2351.1
148,40.862926,-73.927766,35124.7,2425.9
149,40.863238,-73.926923,34495.6,2275.6
150,40.863575,-73.926011,34410.2,2255.5
151,40.864403,-73.923767,34620.2,2307.9
